h,central O(h^2),five-point O(h^4)
0.1,0.0001045320720538534,3.3446568403761034e-08
0.023101297000831605,5.578984768828121e-06,9.527190147906595e-11
0.005336699231206312,2.977348415589276e-07,2.7133850721838826e-13
0.0012328467394420659,1.58892080603934e-08,1.6431300764452317e-14
0.0002848035868435802,8.479641433467577e-10,2.55351295663786e-14
6.579332246575683e-05,4.5554782168721886e-11,5.564437799421285e-13
1.5199110829529332e-05,3.095412814957399e-12,1.5737411374061594e-12
3.5111917342151347e-06,2.0616841567289157e-12,4.696687483374262e-12
8.111308307896872e-07,1.2143730465652425e-11,4.965472477636013e-12
1.873817422860383e-07,1.0983258746932734e-10,1.592069809319696e-10
4.328761281083061e-08,2.123813347409964e-10,4.26111257390005e-10
1e-08,2.030856371959544e-09,3.88122800565327e-09
